City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
240,Monrovia,6.3005,-10.7969,76.77,87,100,13.58,moderate rain,Sunset Inn
241,Naze,28.3667,129.4833,79.72,84,100,18.52,overcast clouds,Amami Port Tower Hotel
242,Zabid,14.1951,43.3152,88.83,62,93,0.49,overcast clouds,دار الضيافة
249,Sola,-13.8833,167.55,77.67,89,90,11.5,overcast clouds,Leumerus Bungalows
255,Maryville,35.7565,-83.9705,84.49,74,98,3.4,overcast clouds,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
256,Douglas,41.3,-96.167,81.46,55,1,1.99,clear sky,Hilton Garden Inn Omaha West
259,Aksu,41.1231,80.2644,75.36,39,24,4.68,few clouds,Pudong Holiday Hotel
261,Hazel Crest,41.5717,-87.6945,77.95,76,1,1.99,clear sky,Best Western Chicago Southland
263,Pasighat,28.0667,95.3333,75.94,99,100,4.85,overcast clouds,Siang Guest House
270,Cabo San Lucas,22.8909,-109.9124,85.6,74,90,4.61,overcast clouds,Hotel Tesoro Los Cabos
285,Damghan,36.1683,54.348,78.62,31,4,2.51,clear sky,خوابگاه اساتيد دانشگاه دامغان
288,Minudasht,37.2289,55.3747,80.17,65,0,0.0,clear sky,Esteghlal Hotel Minoudasht
290,Carupano,10.6678,-63.2585,78.67,89,100,7.34,overcast clouds,Hotel La dorada
293,Biltine,14.5333,20.9167,79.75,72,81,1.41,broken clouds,Hôtel Trois Étoiles de Biltine
297,Porto Novo,6.4965,2.6036,78.62,90,100,5.91,overcast clouds,Tour Eiffel Hotel Benin
302,Namatanai,-3.6667,152.4333,83.55,72,100,7.74,light rain,Seagulls Inn Namatani
305,San Cristobal,7.7669,-72.225,75.38,97,96,2.62,overcast clouds,Posada Villaven C.A.
307,Pontianak,-0.0333,109.3333,76.98,94,75,0.0,broken clouds,Aston Pontianak Hotel & Convention Center
308,Samarai,-10.6167,150.6667,79.02,85,97,15.97,moderate rain,Nuli Sapi
309,Komsomolskiy,40.4272,71.7189,77.72,29,73,6.91,broken clouds,Ikathouse
310,Kavieng,-2.5744,150.7967,81.09,78,100,8.84,light rain,Nusa Island Retreat
311,Numaligarh,26.6333,93.75,76.93,96,100,4.23,overcast clouds,Mumai Hotel
316,Lazaro Cardenas,17.9583,-102.2,81.05,79,100,6.04,overcast clouds,quinta antigua
319,Ishigaki,24.3448,124.1572,78.93,94,75,11.5,broken clouds,Hotel Peace Land Ishigakijima
323,Condado,21.8767,-79.8403,84.36,88,35,5.46,scattered clouds,Casa Guachinango
325,Touros,-5.1989,-35.4608,76.1,79,3,14.14,clear sky,INN NEW HORIZON
326,Indi,17.1667,75.9667,76.75,75,100,9.55,overcast clouds,K.G.Rathod
328,Kahului,20.8947,-156.47,86.02,67,20,24.16,few clouds,Maui Seaside Hotel
331,Itarema,-2.9248,-39.9167,79.0,81,6,15.39,clear sky,"Sea Lounge! Bar, Club & Restaurant"
332,Kodinar,20.7903,70.7031,80.55,81,100,13.51,overcast clouds,residency of N.B vadhel
336,Puertollano,38.6871,-4.1073,82.15,28,0,1.97,clear sky,Hotel Puertollano
339,Shingu,33.7333,135.9833,79.92,89,100,8.84,overcast clouds,Shingu UI Hotel
340,Pangai,-19.8,-174.35,75.31,60,40,11.5,scattered clouds,Ha'apai Beach Resort
341,Isangel,-19.55,169.2667,78.91,57,75,10.36,haze,Tanna Lodge
343,Vung Tau,10.346,107.0843,81.99,77,96,6.8,overcast clouds,Green hotel
344,Caraballeda,10.6112,-66.8522,82.47,83,8,9.22,clear sky,Hotel 15 Letras
346,Nueva Concepcion,14.2,-91.3,84.15,87,83,2.33,broken clouds,Hotel Villa Las Flores
353,Jerantut,3.936,102.3626,78.87,80,97,0.94,overcast clouds,Jerantut Hill Resort
356,Sai Buri,6.7013,101.6168,76.71,85,100,3.24,overcast clouds,ร้าน​ เวดดิ้ง
361,Saharsa,25.8833,86.6,80.06,91,100,2.91,overcast clouds,SPOT ON 61627 Golden Plaza SPOT
362,Tura,25.5198,90.2201,75.0,97,100,6.91,overcast clouds,Hotel RIKMAN Continental
365,Boffa,10.1667,-14.0333,76.12,93,100,1.92,light rain,Hôtel Niara Belly
366,Maunabo,18.0072,-65.8993,82.71,94,100,12.53,overcast clouds,Maunacaribe
369,Ha Tinh,18.3333,105.9,89.1,59,96,8.25,overcast clouds,Phú Quý
374,Pierre,44.3683,-100.351,83.32,46,40,4.0,scattered clouds,Ramkota Hotel
376,Papara,-3.9839,-38.7273,79.2,95,58,4.32,broken clouds,Romin
377,Conceicao Do Araguaia,-8.2578,-49.2647,86.13,42,0,2.3,clear sky,Tarumã Tropical Hotel
382,Bathsheba,13.2167,-59.5167,79.41,89,75,10.36,broken clouds,Atlantis Hotel
386,Ha Giang,22.8333,104.9833,82.02,91,100,0.76,overcast clouds,Truong Xuan Ecolodge
388,Morgan City,29.6994,-91.2068,75.2,100,40,3.44,scattered clouds,Hampton Inn & Suites Morgan City
389,Belle Fourche,44.6714,-103.8522,79.45,22,38,11.86,scattered clouds,Kings Inn
393,Marsaxlokk,35.8419,14.5431,83.08,78,0,1.14,clear sky,Water's Edge
396,Gazojak,41.1875,61.4036,77.18,36,0,10.74,clear sky,In gowy adamlaryñ yaśayan oyi
397,Coolum Beach,-26.5333,153.1,75.34,69,3,3.33,clear sky,Palmer Coolum Resort
