,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
85,Ilulissat,69.2167,-51.1,48.22,61,100,4.61,overcast clouds
86,Pevek,69.7008,170.3133,40.26,99,100,9.86,moderate rain
87,Sitka,57.0531,-135.33,62.49,88,90,5.75,light rain
88,Nome,64.5011,-165.4064,51.17,57,1,10.36,clear sky
89,Kaitangata,-46.2817,169.8464,51.75,66,6,7.7,clear sky
90,Hilo,19.7297,-155.09,83.93,74,20,10.36,few clouds
91,Santander,43.4647,-3.8044,67.98,92,90,3.0,overcast clouds
92,Uglegorsk,49.0833,142.0333,64.8,67,0,6.53,clear sky
93,Clyde River,70.4692,-68.5914,37.63,100,90,16.11,light rain
94,Tazovskiy,67.4667,78.7,56.07,72,100,6.24,overcast clouds
95,Roma,43.2128,-75.4557,79.43,88,100,2.21,overcast clouds
96,Lorengau,-2.0226,147.2712,81.46,78,100,5.48,overcast clouds
97,Port Antonio,18.18,-76.4612,82.31,84,14,9.57,few clouds
98,Arraial Do Cabo,-22.9661,-42.0278,68.79,85,100,17.29,overcast clouds
99,Lipin Bor,60.2622,37.9763,63.72,95,97,8.23,overcast clouds
100,Nouadhibou,20.931,-17.0347,71.58,78,5,20.71,sand
101,Qaanaaq,77.484,-69.3632,38.61,72,17,2.37,few clouds
102,Portland,45.5234,-122.6762,106.81,30,75,1.01,smoke
103,Tasiilaq,65.6145,-37.6368,46.56,70,100,2.86,overcast clouds
104,Calvia,39.5657,2.5062,82.08,83,0,2.95,clear sky
105,Green River,41.5286,-109.4662,90.19,16,6,3.0,clear sky
106,Birnin Kebbi,12.4539,4.1975,73.99,93,100,4.07,heavy intensity rain
107,Port Elizabeth,-33.918,25.5701,48.49,93,75,5.75,broken clouds
108,Albany,42.6001,-73.9662,77.65,92,63,6.91,broken clouds
109,Camacupa,-12.0167,17.4833,56.55,21,4,3.0,clear sky
110,Talnakh,69.4865,88.3972,49.03,69,18,6.53,few clouds
111,Mount Isa,-20.7333,139.5,71.37,30,0,10.36,clear sky
112,Coquimbo,-29.9533,-71.3436,49.73,81,0,4.61,clear sky
113,Nuuk,64.1835,-51.7216,50.61,71,68,9.22,broken clouds
114,Sorland,67.667,12.6934,54.88,85,100,4.27,overcast clouds
115,Kalmunai,7.4167,81.8167,79.74,82,100,7.43,overcast clouds
116,Namibe,-15.1961,12.1522,61.34,88,0,6.76,clear sky
117,Huarmey,-10.0681,-78.1522,63.16,83,87,11.36,overcast clouds
118,Prince Rupert,54.3161,-130.3201,69.89,82,1,5.75,clear sky
119,Chokurdakh,70.6333,147.9167,56.16,81,100,12.03,light rain
120,Soria,41.6667,-2.6667,65.86,46,0,2.26,clear sky
121,Erdaojiang,41.7764,126.0319,70.3,77,66,1.88,broken clouds
122,Narsaq,60.9167,-46.05,52.02,76,89,2.91,overcast clouds
123,Severo-Kurilsk,50.6789,156.125,56.88,68,4,6.73,clear sky
124,Bairiki,1.3292,172.9752,84.2,79,40,9.22,light intensity drizzle
125,Gambiran,-6.7988,111.4951,80.35,69,43,5.66,scattered clouds
126,Carnarvon,-24.8667,113.6333,48.27,28,0,5.75,clear sky
127,Kiruna,67.8557,20.2251,50.92,87,90,2.3,overcast clouds
128,Fortuna,40.5982,-124.1573,82.42,74,81,4.94,broken clouds
129,Natal,-5.795,-35.2094,77.22,83,20,8.05,few clouds
130,East London,-33.0153,27.9116,56.62,62,100,14.0,light rain
131,Labuhan,-6.8844,112.2051,80.2,75,100,8.9,overcast clouds
132,Hamilton,39.1834,-84.5333,90.79,68,1,10.36,clear sky
133,San Patricio,28.017,-97.5169,90.01,64,100,12.59,overcast clouds
134,Avera,33.194,-82.5271,87.75,56,0,5.91,clear sky
135,Uige,-7.6087,15.0613,63.09,92,86,2.59,overcast clouds
136,Fairbanks,64.8378,-147.7164,60.8,70,90,5.75,light intensity shower rain
137,Cidreira,-30.1811,-50.2056,55.9,80,100,7.34,overcast clouds
138,Castro,-24.7911,-50.0119,48.99,97,100,7.11,overcast clouds
139,Sechura,-5.5569,-80.8222,66.2,78,29,14.34,scattered clouds
140,Poum,-20.2333,164.0167,71.85,61,19,11.32,few clouds
141,Dikson,73.5069,80.5464,44.83,100,100,11.16,overcast clouds
142,Chuy,-33.6971,-53.4616,43.95,87,0,5.41,clear sky
143,Leningradskiy,69.3833,178.4167,51.93,53,100,2.86,overcast clouds
144,Seoul,37.5683,126.9778,80.17,73,0,4.61,clear sky
145,Paamiut,61.994,-49.6678,43.99,83,100,7.36,overcast clouds
146,Vinkovci,45.2883,18.8047,72.45,94,0,4.61,clear sky
147,Praia Da Vitoria,38.7333,-27.0667,75.45,83,40,24.25,scattered clouds
148,Tuktoyaktuk,69.4541,-133.0374,46.4,93,90,14.97,light intensity shower rain
149,Niscemi,37.1486,14.3913,80.98,58,0,4.12,clear sky
150,Wufeng,27.45,104.8333,61.52,99,100,3.38,overcast clouds
151,Mackay,-21.15,149.2,76.05,78,7,18.41,clear sky
152,Bambous Virieux,-20.3428,57.7575,71.85,88,40,12.66,scattered clouds
153,Jamestown,42.097,-79.2353,78.39,88,90,8.05,overcast clouds
154,Salalah,17.0151,54.0924,77.09,83,75,3.44,broken clouds
155,Faya,18.3851,42.4509,68.11,44,79,1.14,broken clouds
156,Urumqi,43.801,87.6005,77.95,36,100,6.71,overcast clouds
157,Atbasar,51.8,68.3333,51.06,84,4,11.68,clear sky
158,Berlevag,70.8578,29.0864,50.76,92,88,1.79,overcast clouds
159,Guerrero Negro,27.9769,-114.0611,83.35,65,8,14.12,clear sky
160,Cherskiy,68.75,161.3,58.91,68,100,8.57,overcast clouds
161,Kibaya,-5.3,36.5667,52.09,92,9,3.13,clear sky
162,Preobrazheniye,42.9019,133.9064,68.14,66,30,13.0,scattered clouds
